threshold,dollars_per_shift,tp,fp,tn,fn
0.775,15176.73,0,0,235915,728
0.776,15176.73,0,0,235915,728
0.777,15176.73,0,0,235915,728
0.778,15176.73,0,0,235915,728
0.779,15176.73,0,0,235915,728
0.780,15176.73,0,0,235915,728
0.781,15176.73,0,0,235915,728
0.782,15176.73,0,0,235915,728
0.783,15176.73,0,0,235915,728
0.784,15176.73,0,0,235915,728
0.785,15176.73,0,0,235915,728
0.786,15176.73,0,0,235915,728
0.787,15176.73,0,0,235915,728
0.788,15176.73,0,0,235915,728
0.789,15176.73,0,0,235915,728
0.790,15176.73,0,0,235915,728
0.791,15176.73,0,0,235915,728
0.792,15176.73,0,0,235915,728
0.793,15176.73,0,0,235915,728
0.794,15176.73,0,0,235915,728
0.795,15176.73,0,0,235915,728
0.796,15176.73,0,0,235915,728
0.797,15176.73,0,0,235915,728
0.798,15176.73,0,0,235915,728
0.799,15176.73,0,0,235915,728
0.800,15176.73,0,0,235915,728
0.801,15176.73,0,0,235915,728
0.802,15176.73,0,0,235915,728
0.803,15176.73,0,0,235915,728
0.804,15176.73,0,0,235915,728
0.805,15176.73,0,0,235915,728
0.806,15176.73,0,0,235915,728
0.807,15176.73,0,0,235915,728
0.808,15176.73,0,0,235915,728
0.809,15176.73,0,0,235915,728
0.810,15176.73,0,0,235915,728
0.811,15176.73,0,0,235915,728
0.812,15176.73,0,0,235915,728
0.813,15176.73,0,0,235915,728
0.814,15176.73,0,0,235915,728
0.815,15176.73,0,0,235915,728
0.816,15176.73,0,0,235915,728
0.817,15176.73,0,0,235915,728
0.818,15176.73,0,0,235915,728
0.819,15176.73,0,0,235915,728
0.820,15176.73,0,0,235915,728
0.821,15176.73,0,0,235915,728
0.822,15176.73,0,0,235915,728
0.823,15176.73,0,0,235915,728
0.824,15176.73,0,0,235915,728
0.825,15176.73,0,0,235915,728
0.826,15176.73,0,0,235915,728
0.827,15176.73,0,0,235915,728
0.828,15176.73,0,0,235915,728
0.829,15176.73,0,0,235915,728
0.830,15176.73,0,0,235915,728
0.831,15176.73,0,0,235915,728
0.832,15176.73,0,0,235915,728
0.833,15176.73,0,0,235915,728
0.834,15176.73,0,0,235915,728
0.835,15176.73,0,0,235915,728
0.836,15176.73,0,0,235915,728
0.837,15176.73,0,0,235915,728
0.838,15176.73,0,0,235915,728
0.839,15176.73,0,0,235915,728
0.840,15176.73,0,0,235915,728
0.841,15176.73,0,0,235915,728
0.842,15176.73,0,0,235915,728
0.843,15176.73,0,0,235915,728
0.844,15176.73,0,0,235915,728
0.845,15176.73,0,0,235915,728
0.846,15176.73,0,0,235915,728
0.847,15176.73,0,0,235915,728
0.848,15176.73,0,0,235915,728
0.849,15176.73,0,0,235915,728
0.850,15176.73,0,0,235915,728
0.851,15176.73,0,0,235915,728
0.852,15176.73,0,0,235915,728
0.853,15176.73,0,0,235915,728
0.854,15176.73,0,0,235915,728
0.855,15176.73,0,0,235915,728
0.856,15176.73,0,0,235915,728
0.857,15176.73,0,0,235915,728
0.858,15176.73,0,0,235915,728
0.859,15176.73,0,0,235915,728
0.860,15176.73,0,0,235915,728
0.861,15176.73,0,0,235915,728
0.862,15176.73,0,0,235915,728
0.863,15176.73,0,0,235915,728
0.864,15176.73,0,0,235915,728
0.865,15176.73,0,0,235915,728
0.866,15176.73,0,0,235915,728
0.867,15176.73,0,0,235915,728
0.868,15176.73,0,0,235915,728
0.869,15176.73,0,0,235915,728
0.870,15176.73,0,0,235915,728
0.871,15176.73,0,0,235915,728
0.872,15176.73,0,0,235915,728
0.873,15176.73,0,0,235915,728
0.874,15176.73,0,0,235915,728
0.875,15176.73,0,0,235915,728
0.876,15176.73,0,0,235915,728
0.877,15176.73,0,0,235915,728
0.878,15176.73,0,0,235915,728
0.879,15176.73,0,0,235915,728
0.880,15176.73,0,0,235915,728
0.881,15176.73,0,0,235915,728
0.882,15176.73,0,0,235915,728
0.883,15176.73,0,0,235915,728
0.884,15176.73,0,0,235915,728
0.885,15176.73,0,0,235915,728
0.886,15176.73,0,0,235915,728
0.887,15176.73,0,0,235915,728
0.888,15176.73,0,0,235915,728
0.889,15176.73,0,0,235915,728
0.890,15176.73,0,0,235915,728
0.891,15176.73,0,0,235915,728
0.892,15176.73,0,0,235915,728
0.893,15176.73,0,0,235915,728
0.894,15176.73,0,0,235915,728
0.895,15176.73,0,0,235915,728
0.896,15176.73,0,0,235915,728
0.897,15176.73,0,0,235915,728
0.898,15176.73,0,0,235915,728
0.899,15176.73,0,0,235915,728
0.900,15176.73,0,0,235915,728
0.901,15176.73,0,0,235915,728
0.902,15176.73,0,0,235915,728
0.903,15176.73,0,0,235915,728
0.904,15176.73,0,0,235915,728
0.905,15176.73,0,0,235915,728
0.906,15176.73,0,0,235915,728
0.907,15176.73,0,0,235915,728
0.908,15176.73,0,0,235915,728
0.909,15176.73,0,0,235915,728
0.910,15176.73,0,0,235915,728
0.911,15176.73,0,0,235915,728
0.912,15176.73,0,0,235915,728
0.913,15176.73,0,0,235915,728
0.914,15176.73,0,0,235915,728
0.915,15176.73,0,0,235915,728
0.916,15176.73,0,0,235915,728
0.917,15176.73,0,0,235915,728
0.918,15176.73,0,0,235915,728
0.919,15176.73,0,0,235915,728
0.920,15176.73,0,0,235915,728
0.921,15176.73,0,0,235915,728
0.922,15176.73,0,0,235915,728
0.923,15176.73,0,0,235915,728
0.924,15176.73,0,0,235915,728
0.925,15176.73,0,0,235915,728
0.926,15176.73,0,0,235915,728
0.927,15176.73,0,0,235915,728
0.928,15176.73,0,0,235915,728
0.929,15176.73,0,0,235915,728
0.930,15176.73,0,0,235915,728
0.931,15176.73,0,0,235915,728
0.932,15176.73,0,0,235915,728
0.933,15176.73,0,0,235915,728
0.934,15176.73,0,0,235915,728
0.935,15176.73,0,0,235915,728
0.936,15176.73,0,0,235915,728
0.937,15176.73,0,0,235915,728
0.938,15176.73,0,0,235915,728
0.939,15176.73,0,0,235915,728
0.940,15176.73,0,0,235915,728
0.941,15176.73,0,0,235915,728
0.942,15176.73,0,0,235915,728
0.943,15176.73,0,0,235915,728
0.944,15176.73,0,0,235915,728
0.945,15176.73,0,0,235915,728
0.946,15176.73,0,0,235915,728
0.947,15176.73,0,0,235915,728
0.948,15176.73,0,0,235915,728
0.949,15176.73,0,0,235915,728
0.950,15176.73,0,0,235915,728
0.951,15176.73,0,0,235915,728
0.952,15176.73,0,0,235915,728
0.953,15176.73,0,0,235915,728
0.954,15176.73,0,0,235915,728
0.955,15176.73,0,0,235915,728
0.956,15176.73,0,0,235915,728
0.957,15176.73,0,0,235915,728
0.958,15176.73,0,0,235915,728
0.959,15176.73,0,0,235915,728
0.960,15176.73,0,0,235915,728
0.961,15176.73,0,0,235915,728
0.962,15176.73,0,0,235915,728
0.963,15176.73,0,0,235915,728
0.964,15176.73,0,0,235915,728
0.965,15176.73,0,0,235915,728
0.966,15176.73,0,0,235915,728
0.967,15176.73,0,0,235915,728
0.968,15176.73,0,0,235915,728
0.969,15176.73,0,0,235915,728
0.970,15176.73,0,0,235915,728
0.971,15176.73,0,0,235915,728
0.972,15176.73,0,0,235915,728
0.973,15176.73,0,0,235915,728
0.974,15176.73,0,0,235915,728
0.975,15176.73,0,0,235915,728
0.976,15176.73,0,0,235915,728
0.977,15176.73,0,0,235915,728
0.978,15176.73,0,0,235915,728
0.979,15176.73,0,0,235915,728
0.980,15176.73,0,0,235915,728
0.981,15176.73,0,0,235915,728
0.982,15176.73,0,0,235915,728
0.983,15176.73,0,0,235915,728
0.984,15176.73,0,0,235915,728
0.985,15176.73,0,0,235915,728
0.986,15176.73,0,0,235915,728
0.987,15176.73,0,0,235915,728
0.988,15176.73,0,0,235915,728
0.989,15176.73,0,0,235915,728
0.990,15176.73,0,0,235915,728
0.991,15176.73,0,0,235915,728
0.992,15176.73,0,0,235915,728
0.993,15176.73,0,0,235915,728
0.994,15176.73,0,0,235915,728
0.995,15176.73,0,0,235915,728
0.996,15176.73,0,0,235915,728
0.997,15176.73,0,0,235915,728
0.998,15176.73,0,0,235915,728
0.999,15176.73,0,0,235915,728
1.000,15176.73,0,0,235915,728
